A.K.,Ramanujan,male,https://www.wikidata.org/wiki/Special:EntityPage/Q3519662,https://www.worldcat.org/identities/lccn-n50054440,NULL 
Khushwant,Singh,male,https://www.wikidata.org/wiki/Special:EntityPage/Q1740716,https://www.worldcat.org/identities/lccn-n50024653,NULL 
Pramode Keshav,Kale,male,NULL ,NULL ,NULL 
Tridip,Suhrud,male,https://www.wikidata.org/wiki/Special:EntityPage/Q55587307,https://www.worldcat.org/identities/lccn-no99024407,NULL 
Arjun,Dangle,male,NULL ,NULL ,NULL 
Jerry,Pinto,male,https://www.wikidata.org/wiki/Special:EntityPage/Q6184253,NULL ,NULL 
A.K.,Kamat,male,NULL ,NULL ,NULL 
Shrikant,Tambe,male,NULL ,NULL ,NULL 
Santosh,Bhoomkar,male,NULL ,http://worldcat.org/identities/lccn-n2005212247/,NULL 
Sneha,Mishra,female,NULL ,NULL ,NULL 
Sudhakar,Marathe,male,NULL ,NULL ,NULL 
Bhagwandas,Verma,male,NULL ,NULL ,NULL 
Vandana Alase,Hazra,female,NULL ,NULL ,NULL 
"	Usha",Sheth,female,NULL ,NULL ,NULL 
Vaman Dattatraya,Bendre,male,NULL ,NULL ,NULL 
Kishorimohan,Sharma,male,NULL ,NULL ,NULL 
Ajeet,Singh,male,NULL ,NULL ,NULL 
Musharraf Alam,Jauki,male,NULL ,NULL ,NULL 
Cheershree,Indrasingh,female,https://www.wikidata.org/wiki/Q56696092,https://www.worldcat.org/identities/lccn-no2003100520/,NULL 
Tirumala,Ramachandra,female,https://www.wikidata.org/wiki/Q15702980,NULL ,NULL 
Padma Ramachandra,Sarma,female,NULL ,NULL ,NULL 
Anupama Dutta,Saikia,female,NULL ,NULL ,NULL 
Vishram,Gupte,male,NULL ,NULL ,NULL 
Vasudha,Inamdar,female,NULL ,NULL ,NULL 
Kanta,Bharati,other,NULL ,NULL ,NULL 
Rajni,Panikar,male,NULL ,NULL ,NULL 
Sharda,Mishra,other,NULL ,NULL ,NULL 
Bindu,Sinha,female,NULL ,NULL ,NULL 
Ishwar,Chander,other,NULL ,NULL ,NULL 
Sampat,Jadhav,male,NULL ,NULL ,NULL 
G.V,Behere,male,NULL ,NULL ,NULL 
Anil,Barwe,male,NULL ,NULL ,NULL 
Nishi,Khanolkar,female,NULL ,NULL ,NULL 
S.P.,Mani,other,NULL ,NULL ,NULL 
S.B,Capoor,other,NULL ,NULL ,NULL 
Amal,Ghose,female,NULL ,http://worldcat.org/identities/lccn-n50035097/,NULL 
A.D.,Gorwala,other,NULL ,NULL ,NULL 
P.,Thomas,male,NULL ,NULL ,NULL 
T.C.,Ghai,other,NULL ,NULL ,NULL 
K.V.,Subbaram,other,NULL ,NULL ,NULL 
P.V.,Mangawedhekar,other,NULL ,NULL ,NULL 
